year,p,gperc,weight,a_pre,sh_tax_dir_pit,sh_tax_cit,sh_tax_ind,sh_tax_dir_wea,sh_tax_dir_wea_prh,sh_tax_dir_wea_prb,sh_tax_dir_wea_wea,sh_tax_soc_tot_soc,sh_tax
2023,99000,100,333423,470818,0.1721,0.0217,0.0377,0.0472,0.0173,0.0276,0.0023,0.0644,0.3432
2023,99100,101,333423,505976,0.1790,0.0217,0.0356,0.0473,0.0173,0.0276,0.0023,0.0645,0.3481
2023,99200,102,333423,549173,0.1851,0.0222,0.0337,0.0480,0.0173,0.0283,0.0023,0.0629,0.3519
2023,99300,103,333423,603719,0.1911,0.0225,0.0320,0.0484,0.0173,0.0287,0.0024,0.0619,0.3559
2023,99400,104,333423,675120,0.1960,0.0243,0.0305,0.0510,0.0173,0.0310,0.0026,0.0599,0.3617
2023,99500,105,333423,773323,0.2015,0.0241,0.0291,0.0506,0.0173,0.0307,0.0025,0.0593,0.3646
2023,99600,106,333423,918605,0.2058,0.0263,0.0278,0.0537,0.0173,0.0336,0.0028,0.0580,0.3717
2023,99700,107,333423,1160734,0.2079,0.0291,0.0266,0.0575,0.0173,0.0371,0.0031,0.0549,0.3761
2023,99800,108,333423,1672922,0.2054,0.0322,0.0256,0.0619,0.0173,0.0411,0.0034,0.0484,0.3734
2023,99900,109,33342,2240146,0.2060,0.0323,0.0246,0.0619,0.0173,0.0412,0.0034,0.0458,0.3706
2023,99910,110,33342,2418274,0.2103,0.0311,0.0237,0.0603,0.0173,0.0397,0.0033,0.0467,0.3721
2023,99920,111,33342,2635709,0.2168,0.0315,0.0228,0.0608,0.0173,0.0402,0.0033,0.0496,0.3815
2023,99930,112,33342,2908340,0.2137,0.0330,0.0220,0.0629,0.0173,0.0421,0.0035,0.0453,0.3769
2023,99940,113,33342,3262528,0.2083,0.0335,0.0213,0.0637,0.0173,0.0428,0.0036,0.0398,0.3667
2023,99950,114,33342,3745742,0.2111,0.0355,0.0206,0.0664,0.0173,0.0453,0.0038,0.0408,0.3744
2023,99960,115,33342,4454451,0.2049,0.0388,0.0199,0.0709,0.0173,0.0495,0.0041,0.0357,0.3703
2023,99970,116,33342,5624972,0.1992,0.0392,0.0193,0.0715,0.0173,0.0500,0.0042,0.0313,0.3607
2023,99980,117,33342,8080211,0.1927,0.0400,0.0188,0.0726,0.0173,0.0510,0.0042,0.0265,0.3505
2023,99990,118,3334,10789986,0.1903,0.0407,0.0182,0.0736,0.0173,0.0519,0.0043,0.0246,0.3475
2023,99991,119,3334,11639590,0.1861,0.0406,0.0177,0.0734,0.0173,0.0518,0.0043,0.0215,0.3393
2023,99992,120,3334,12675438,0.1859,0.0408,0.0172,0.0738,0.0173,0.0521,0.0043,0.0213,0.3391
2023,99993,121,3334,13972777,0.1856,0.0411,0.0168,0.0742,0.0173,0.0525,0.0044,0.0211,0.3388
2023,99994,122,3334,15656333,0.1848,0.0412,0.0163,0.0743,0.0173,0.0526,0.0044,0.0204,0.3371
2023,99995,123,3334,17950709,0.1832,0.0415,0.0159,0.0747,0.0173,0.0529,0.0044,0.0193,0.3346
2023,99996,124,3334,21312034,0.1813,0.0418,0.0155,0.0750,0.0173,0.0533,0.0044,0.0180,0.3317
2023,99997,125,3334,26856735,0.1825,0.0420,0.0152,0.0754,0.0173,0.0536,0.0045,0.0188,0.3339
2023,99998,126,3334,38459272,0.1791,0.0416,0.0148,0.0748,0.0173,0.0530,0.0044,0.0164,0.3267
2023,99999,127,3334,151182975,0.1653,0.0467,0.0145,0.0819,0.0173,0.0596,0.0049,0.0071,0.3155
